0.1 FPR,0.01 FPR,0.001 FPR,0.1 FNR,0.01 FNR,0.001 FNR
0.4941,0.5045,0.4998,0.42,0.4887,0.4969
0.3799,0.492,0.49729999999999996,0.3359,0.4769,0.4866
0.1975,0.46519999999999995,0.4927,0.1578,0.46,0.5029
0.10519999999999996,0.44289999999999996,0.5023,0.0801,0.4351,0.4933
0.03159999999999996,0.4323,0.48129999999999995,0.0251,0.4047,0.4837
0.0013999999999999568,0.37770000000000004,0.48460000000000003,0.001,0.3521,0.4837
