FPR,FNR
0.33230000000000004,0.3359
0.268,0.2537
0.21509999999999996,0.2095
0.14049999999999996,0.1483
0.0675,0.0621
0.016599999999999948,0.0141
0.00029999999999996696,0.0002
0.0,0.0
